index_column,target_processed,predicted
21980,['xxtsart notebook xxend'],produto bom xxend
5801,['xxtsart ótimo produto! xxend'],Ótimo produto xxend
19190,['xxtsart s9 xxend'],Ótimo produto xxend
16921,['xxtsart gostei. xxend'],gostei muito do produto xxend
5986,['xxtsart demora na entrega xxend'],não recebi o produto xxend
18225,['xxtsart muito bom xxend'],produto maravilhoso xxend
10647,['xxtsart produto não muito bom xxend'],produto de baixa qualidade xxend
8716,['xxtsart entregue dentro do prazo xxend'],gostei do produto xxend
23355,['xxtsart excelente escolha xxend'],muito bom xxend
22009,['xxtsart muito bom xxend'],Ótimo xxend
19334,['xxtsart excelente assento xxend'],produto muito bom xxend
24376,['xxtsart não funcionou. xxend'],produto com defeito xxend
12323,['xxtsart gostei do produto xxend'],produto muito bom xxend
4780,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
2368,['xxtsart veio de encontro com meu desejo xxend'],gostei do produto xxend
12039,['xxtsart gostei muito do produto! xxend'],gostei muito do produto xxend
6655,['xxtsart vendedor comprometido xxend'],excelente produto xxend
8173,['xxtsart recomendo xxend'],excelente xxend
4495,['xxtsart bom custo benefício xxend'],bom produto xxend
10893,['xxtsart ótimo super indico xxend'],gostei muito do produto xxend
25547,['xxtsart cumpre com o que promete xxend'],gostei do produto xxend
22386,['xxtsart maria xxend'],Ótimo xxend
22998,['xxtsart não gela como devia xxend'],não gostei xxend
25742,['xxtsart produto entregue quebrado xxend'],produto errado xxend
13403,['xxtsart qual é a fonte? xxend'],não gostei xxend
13121,['xxtsart bom produto xxend'],gostei muito do produto xxend
22303,['xxtsart amei a bolsa xxend'],excelente xxend
10966,['xxtsart excelente xxend'],excelente xxend
853,['xxtsart excelente xxend'],muito bom xxend
20530,['xxtsart produto j´[a veio com defeito xxend'],produto com defeito xxend
20153,['xxtsart ótimo livro xxend'],gostei muito do produto xxend
16958,['xxtsart o produto é excelente xxend'],produto bom xxend
17532,['xxtsart enganação!!!! foi enviado uma réplica do produto!!!! xxend'],produto errado xxend
22677,['xxtsart produto excelente! xxend'],muito bom xxend
22841,['xxtsart ótimo custo benefício xxend'],bom custo benefício xxend
23893,['xxtsart muito bom xxend'],gostei muito do produto xxend
9907,['xxtsart excelente produto xxend'],produto muito bom xxend
4777,['xxtsart ótimo e entrega rápida xxend'],muito bom xxend
20238,['xxtsart recomendo xxend'],produto excelente e barato e de qualidade xxend
15338,['xxtsart maravilhoso xxend'],excelente xxend
2491,['xxtsart muito bom xxend'],bom produto xxend
15328,['xxtsart impecável xxend'],Ótimo produto xxend
14599,['xxtsart fantástico! xxend'],excelente produto xxend
19508,['xxtsart recomendo xxend'],produto muito bom xxend
22075,['xxtsart ótimo! xxend'],excelente xxend
3051,['xxtsart entrega rápida xxend'],muito bom xxend
15979,['xxtsart o pneu é original de fábrica xxend'],gostei xxend
16388,['xxtsart ótima surpe indicado xxend'],muito bom xxend
21606,['xxtsart não recebi meu produto xxend'],nÃo recebi o produto xxend
21699,['xxtsart excelente xxend'],Ótimo produto xxend
21253,['xxtsart otimo xxend'],gostei muito do produto xxend
876,['xxtsart entrega rápida. xxend'],excelente xxend
25567,['xxtsart otimo xxend'],não tem como avaliar xxend
23411,['xxtsart ótimo produto xxend'],gostei muito do produto xxend
4142,['xxtsart gostei muito. xxend'],excelente xxend
15202,['xxtsart aamei este celular e tudo de lindo e bom xxend'],excelente produto xxend
6966,['xxtsart sensacional !!! xxend'],muito bom xxend
7079,['xxtsart excelente compra xxend'],gostei muito do produto xxend
7987,['xxtsart serve bem ao propósito. xxend'],não gostei do produto xxend
6799,['xxtsart excelente para iniciante xxend'],gostei muito do produto xxend
4465,['xxtsart ruim xxend'],produto de baixa qualidade xxend
17019,['xxtsart não gostei xxend'],não gostei xxend
13417,['xxtsart bom. mas já chegou com a lâmpada queimada. xxend'],bom xxend
18077,['xxtsart otimo xxend'],amei xxend
26258,['xxtsart muito excelente o celular xxend'],celular top xxend
21136,['xxtsart gostei muito xxend'],gostei xxend
8311,['xxtsart defeito xxend'],produto com defeito xxend
17214,['xxtsart defeito xxend'],não gostei xxend
14098,['xxtsart bem útil xxend'],muito bom xxend
5177,['xxtsart muito bom xxend'],gostei muito do produto xxend
14262,['xxtsart super satisfeita xxend'],excelente xxend
25945,['xxtsart valeu a compra xxend'],excelente xxend
25316,['xxtsart condomínio feliz xxend'],bom produto xxend
8308,['xxtsart gostei xxend'],produto muito bom xxend
5949,['xxtsart ótimo produto. xxend'],Ótimo xxend
19222,['xxtsart gostei xxend'],gostei do produto xxend
1150,['xxtsart recebi o produto errado xxend'],produto com defeito xxend
23944,['xxtsart bom custo beneficio xxend'],Ótimo produto xxend
1931,['xxtsart avaliação xxend'],gostei muito do produto xxend
9204,['xxtsart produto normal xxend'],frete muito do produto xxend
18048,['xxtsart muito sensivel a defeito. xxend'],não gostei xxend
1081,['xxtsart obra histórica maravilhosa xxend'],perfume falso xxend
16896,['xxtsart amei xxend'],muito bom xxend
13407,['xxtsart demora xxend'],não recebi o produto xxend
7805,['xxtsart 4 xxend'],produto nÃo entregue xxend
5237,['xxtsart confortavel xxend'],não gostei xxend
16943,['xxtsart cor xxend'],gostei xxend
20056,['xxtsart excelente produto xxend'],gostei do produto xxend
12775,['xxtsart não recebi!  ainda xxend'],não recebi o produto xxend
23788,['xxtsart gostei deste produto xxend'],produto muito ruim xxend
16244,['xxtsart balanço e temporizador pararam de funcionar após primeiro uso. xxend'],produto com defeito xxend
13184,['xxtsart meu celular xxend'],gostei muito do produto xxend
3343,['xxtsart envolvente xxend'],não recomendo xxend
13500,['xxtsart ótima qualidade xxend'],gostei do produto xxend
20454,['xxtsart bom xxend'],não recebi o produto xxend
9662,['xxtsart ótimo produto xxend'],muito bom xxend
16964,['xxtsart à  desejar xxend'],não gostei do produto xxend
15125,['xxtsart empresa não entrega o produto certo xxend'],não recebi o produto xxend
23388,['xxtsart descosturou xxend'],produto com defeito xxend
8130,['xxtsart o produto me surpreendeu! xxend'],excelente xxend
19531,"['xxtsart pequeno, portátil e potente xxend']",muito bom xxend
20633,['xxtsart horrível xxend'],não gostei xxend
1679,['xxtsart pedagogia 300 questões comentadas de provas e conursos xxend'],não chegou xxend
3506,['xxtsart otimo xxend'],muito bom xxend
13284,['xxtsart chegou tudo em ordem xxend'],gostei do produto xxend
7253,['xxtsart gostei. xxend'],excelente produto xxend
19128,['xxtsart produto ótimo! xxend'],gostei do produto xxend
9435,['xxtsart squeeze xxend'],não gostei xxend
21572,['xxtsart insatisfação no uso xxend'],não gostei xxend
11310,['xxtsart vale a pena ter um xxend'],gostei muito do produto xxend
13296,['xxtsart produto bom xxend'],produto de entrega xxend
18525,['xxtsart batedeira perfeita! xxend'],excelente produto xxend
13245,['xxtsart excelente xxend'],muito bom xxend
11151,['xxtsart excelente xxend'],gostei muito do produto xxend
10457,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
23001,['xxtsart excelente xxend'],gostei muito do produto xxend
2479,['xxtsart excelenteeeee xxend'],muito bom xxend
22868,['xxtsart otimo xxend'],gostei do produto xxend
26211,['xxtsart muito bom xxend'],produto muito bom xxend
23805,"['xxtsart produto ""maromeno"" xxend']",não gostei xxend
26333,"['xxtsart horrivel, nunca chegou xxend']",não recebi o produto xxend
4452,['xxtsart gostei muito xxend'],muito bom xxend
5881,"['xxtsart é boa, mas a pipoca cai fora do recipiente. xxend']",não gostei xxend
23049,['xxtsart produto muito bom e cor perfeita! xxend'],produto de qualidade xxend
14069,['xxtsart bom xxend'],gostei xxend
2849,['xxtsart gostei do produto xxend'],produto muito bom xxend
7390,['xxtsart satisfeito xxend'],excelente xxend
23289,['xxtsart produto bom xxend'],excelente xxend
11922,['xxtsart produto ótimo. r comemdo xxend'],excelente produto xxend
2489,['xxtsart samsung j5 pro é um excelente produto! xxend'],excelente produto xxend
9823,['xxtsart cumpre o que promete xxend'],produto de qualidade xxend
9207,['xxtsart passou do prazo de entrega xxend'],produto de entrega xxend
9540,['xxtsart otimo produto xxend'],gostei do produto xxend
16364,['xxtsart otima leitura xxend'],muito bom xxend
4611,['xxtsart excelente produto xxend'],excelente xxend
19223,['xxtsart compativel xxend'],produto de boa qualidade xxend
24911,['xxtsart recomendo comprar xxend'],muito bom xxend
5878,['xxtsart moto x4 xxend'],gostei xxend
16347,['xxtsart muito bom por um ótimo preço xxend'],muito bom xxend
25471,['xxtsart muito bom! xxend'],Ótimo produto xxend
22687,['xxtsart produto exelente xxend'],gostei muito do produto xxend
851,['xxtsart joilson xxend'],produto de péssima qualidade xxend
18071,['xxtsart está caro xxend'],não é original xxend
6833,['xxtsart gostei muito do produto xxend'],gostei xxend
11938,['xxtsart produto indisponível e consta para efetuar  a compra xxend'],não recebi o produto xxend
2427,['xxtsart decepcionada com as americanas xxend'],não recebi o produto xxend
26144,['xxtsart não é o produto que comprei xxend'],produto com defeito xxend
4000,['xxtsart bom produto. xxend'],gostei muito do produto xxend
5052,['xxtsart mt bom! xxend'],muito bom xxend
2738,['xxtsart maravilhoso xxend'],muito bom xxend
22116,['xxtsart me enviaram o produto errado xxend'],produto com defeito xxend
5387,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
8002,['xxtsart não recebi o produto até hoje. xxend'],não recebi o produto xxend
5536,['xxtsart atende às expectativas xxend'],bom produto xxend
13479,['xxtsart muito frágil e veio quebrado xxend'],não gostei xxend
3913,['xxtsart estou satisfeita xxend'],não é o que se é muito bom xxend
17450,['xxtsart não esquenta xxend'],gostei muito do produto xxend
24107,['xxtsart otimo! xxend'],produto de baixa qualidade xxend
20764,['xxtsart muito bom xxend'],muito bom xxend
10636,['xxtsart nao recebi xxend'],comprei e nao recebi o produto xxend
20491,['xxtsart ótimo xxend'],Ótimo produto xxend
5726,['xxtsart péssimo produto xxend'],produto com defeito xxend
3373,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
12161,['xxtsart o produto e tudo que diz no manual...muito bom!!! xxend'],muito bom xxend
25329,['xxtsart custo beneficio para leituras xxend'],bom custo benefício xxend
2082,['xxtsart foto enganosa xxend'],não gostei do produto xxend
25351,['xxtsart o produto não chegou xxend'],não recebi o produto xxend
23132,['xxtsart muito boa xxend'],excelente xxend
16281,['xxtsart qualidade do produto xxend'],gostei do produto xxend
15305,['xxtsart gostei muito do produto! xxend'],gostei muito do produto xxend
9817,['xxtsart 0 xxend'],produto com defeito xxend
11261,['xxtsart chegou muito antes do prazo ! xxend'],produto chegou com defeito xxend
417,['xxtsart muito bom!!! xxend'],gostei muito do produto xxend
24690,['xxtsart ótimo produto xxend'],gostei xxend
8808,['xxtsart gostei do produto xxend'],gostei do produto xxend
20358,['xxtsart borracha de sucção veio com defeito xxend'],produto com defeito xxend
3267,['xxtsart recebi meu produto errado diferente do meu pedido xxend'],produto errado xxend
17209,['xxtsart produto todo torto xxend'],produto de qualidade xxend
24052,['xxtsart não gostei do produto xxend'],gostei xxend
5745,['xxtsart melhor iphone de todos! xxend'],excelente produto xxend
26092,['xxtsart excelente! xxend'],gostei muito do produto xxend
11338,['xxtsart maravilhoso!!!!!!!!!! xxend'],gostei xxend
412,['xxtsart muito satisfeita com o produto xxend'],gostei muito do produto xxend
7543,['xxtsart produto excelente xxend'],gostei muito do produto xxend
7587,['xxtsart gosto muito dessas fragrâncias... xxend'],produto de qualidade xxend
728,['xxtsart smartphone com um valor acessível xxend'],bom mas não tem como posso avaliar xxend
23548,['xxtsart bom xxend'],bom xxend
25251,"['xxtsart ótima fragrância, xxend']",produto muito bom xxend
11657,['xxtsart potente e prático xxend'],muito bom xxend
5988,['xxtsart excelente xxend'],produto muito bom xxend
18888,"['xxtsart horrível, deram a câmera usada xxend']",não gostei xxend
2967,['xxtsart serra meio esquadrias xxend'],não gostei xxend
14527,['xxtsart bom produto xxend'],bom produto xxend
19170,['xxtsart não entregam! xxend'],nÃo recebi o produto xxend
16048,['xxtsart adorei o produto xxend'],excelente xxend
17506,['xxtsart regularmente bom xxend'],Ótimo produto xxend
20463,['xxtsart atende ao que eu desejava xxend'],não é tão bom xxend
17955,['xxtsart recomendo xxend'],muito bom xxend
5073,['xxtsart loja nao cumpriu o que estava escrito xxend'],não comprem xxend
5104,['xxtsart perfeito xxend'],Ótimo produto xxend
2143,['xxtsart propaganda enganosa xxend'],péssimo xxend
26263,['xxtsart amei!! xxend'],excelente produto xxend
23190,['xxtsart cadeirinha prática xxend'],excelente xxend
7357,"['xxtsart recomendo, gostei muito do produto! xxend']",parabéns pela agilidade na entrega e entrega xxend
12043,['xxtsart recomento bastante este aparelho para usuários menos exigentes! xxend'],Ótimo produto xxend
3440,['xxtsart perfume veio vazando e sem tampa xxend'],propaganda enganosa xxend
20150,['xxtsart cabide xxend'],gostei xxend
5644,['xxtsart muito bom xxend'],gostei muito do produto xxend
10518,['xxtsart amei minha impressora xxend'],produto de qualidade xxend
14552,['xxtsart não gostei porque mesmo  estando no volume maxmo demora muito pra equentar. xxend'],não gostei do produto xxend
2914,['xxtsart decepção xxend'],nÃo recebi o produto xxend
21352,['xxtsart mas meu produto não foi entregue e eu paguei no boleto e quero saber como vai me reembolsar????????? xxend'],não recebi o produto xxend
22301,['xxtsart celular esquentando xxend'],celular xxend
13584,['xxtsart avaliação  vassoura mágica xxend'],gostei muito do produto xxend
12144,['xxtsart gostei! xxend'],gostei muito do produto xxend
14397,['xxtsart gostei muito do produto! xxend'],gostei muito do produto xxend
8787,['xxtsart um livro muito bom xxend'],adorei xxend
14191,['xxtsart ótimo produto xxend'],ótimo produto xxend
728,['xxtsart smartphone com um valor acessível xxend'],bom mas não tem como posso avaliar xxend
17749,['xxtsart produto faltando xxend'],produto errado xxend
20876,"['xxtsart maquina de gira roupas, só gira. xxend']",não gostei xxend
698,['xxtsart não gostei muito xxend'],gostei do produto xxend
7186,['xxtsart excelente xxend'],excelente xxend
14512,['xxtsart adorei xxend'],Ótimo produto xxend
13923,['xxtsart um excelente produto. xxend'],gostei do produto xxend
16779,['xxtsart kit manutenção xxend'],não gostei xxend
7400,['xxtsart ofertam e não entregam xxend'],não recebi o produto xxend
24466,['xxtsart recomendo. xxend'],gostei do produto xxend
4171,['xxtsart gostei do prazo de entrega xxend'],produto bom xxend
4360,['xxtsart muito bom!!! xxend'],gostei muito do produto xxend
2502,['xxtsart nao vale a pena xxend'],bom produto xxend
26395,['xxtsart muito satisfeita xxend'],muito bom xxend
17101,['xxtsart não comprem os entregadores entregaram na cidade errada xxend'],nao recebi meu produto xxend
19166,"['xxtsart produto ruim, não recomendo xxend']",não gostei xxend
21330,['xxtsart linda. xxend'],perfume xxend
5486,['xxtsart 5 estrela xxend'],excelente xxend
8335,['xxtsart bom xxend'],ainda não recebi xxend
21364,"['xxtsart excelente! recomendado a todos, sem exceção ou restrição. xxend']",Ótimo produto xxend
23650,['xxtsart lindo xxend'],produto muito bom xxend
4491,['xxtsart problemas na operação xxend'],bom xxend
23576,['xxtsart anúncio que leva ao erro! cuidado! xxend'],não é o que não é original xxend
11130,['xxtsart gostei bastante! xxend'],produto ótimo xxend
21972,['xxtsart muito bom o moto x4 xxend'],excelente xxend
7651,['xxtsart muito bom xxend'],muito bom xxend
20020,['xxtsart não é da bandai xxend'],não recebi o produto xxend
1167,['xxtsart ótimo custo beneficio! xxend'],boa xxend
1062,['xxtsart produto bom xxend'],produto de qualidade xxend
18540,['xxtsart não gostei xxend'],falso xxend
24244,['xxtsart demora na entrega xxend'],não recebi o produto xxend
21545,['xxtsart bom xxend'],gostei xxend
21689,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
11174,['xxtsart prático xxend'],bom xxend
22925,['xxtsart entrega incompatível xxend'],péssimo atendimento xxend
4729,['xxtsart ótimo xxend'],Ótimo produto xxend
9348,['xxtsart excelente! xxend'],produto de acordo com o produto xxend
23714,['xxtsart meu protetor de sofa nao chegou xxend'],nao chegou xxend
5334,['xxtsart produto não corresponde a capacidade do anúncio xxend'],produto não entregue xxend
8924,['xxtsart dez xxend'],excelente xxend
4330,['xxtsart muito bom xxend'],muito bom xxend
24394,['xxtsart muito bom! xxend'],produto muito bom xxend
6801,['xxtsart muito bom para voce ver suas informações em todos angulos xxend'],muito bom xxend
4846,['xxtsart produto excelente e ótimo preço xxend'],excelente produto xxend
6731,['xxtsart avaliação inicial xxend'],produto de qualidade xxend
15368,"['xxtsart entregar que é bom, nada! xxend']",não recebi o produto xxend
23625,['xxtsart nota 10 xxend'],gostei muito do produto xxend
17337,['xxtsart muito bom xxend'],muito bom xxend
2539,['xxtsart aumentou o preço xxend'],nao é o que eu queria xxend
7056,['xxtsart defeito xxend'],não gostei xxend
11516,['xxtsart ótimo xxend'],Ótimo produto xxend
11493,['xxtsart excelente .. xxend'],produto bom xxend
1542,['xxtsart não gostei do produto xxend'],não gostei xxend
21677,['xxtsart qualidade xxend'],gostei do produto xxend
13964,['xxtsart comprei um produto e recebi outro xxend'],nao gostei xxend
17575,['xxtsart bom produto xxend'],bom produto xxend
6313,['xxtsart ainda não recebi!! xxend'],não recebi o produto xxend
23322,['xxtsart propaganda enganosa xxend'],péssimo produto xxend
19065,['xxtsart top xxend'],gostei muito do produto xxend
25793,['xxtsart produto não funciona xxend'],não gostei xxend
17924,['xxtsart perfeita!!! xxend'],amei xxend
22556,['xxtsart gostei muito! xxend'],produto de qualidade xxend
21925,['xxtsart produto xxend'],Ótimo produto xxend
13807,['xxtsart imagem meramente ilustrativa??? xxend'],não gostei xxend
9580,['xxtsart ar inverter electrolux xxend'],Ótimo produto xxend
26432,['xxtsart ruim xxend'],não comprem xxend
17749,['xxtsart produto faltando xxend'],produto errado xxend
8691,['xxtsart excelente xxend'],excelente xxend
26256,['xxtsart orrível odiei o produto xxend'],muito bom xxend
25086,['xxtsart excelente xxend'],excelente produto xxend
7494,['xxtsart simples e eficiente xxend'],produto muito bom xxend
4312,['xxtsart nao entrega xxend'],não recebi o produto xxend
1324,['xxtsart eu gostei! xxend'],Ótimo produto xxend
25731,['xxtsart bom xxend'],produto de boa qualidade xxend
26403,['xxtsart bom xxend'],bom xxend
3141,['xxtsart não recebi este produto e até hoje não tive um retorno do que pode ter acontecido. xxend'],nÃo recebi o produto xxend
23803,['xxtsart ameiiiii xxend'],muito bom xxend
19870,['xxtsart tapete felpudo xxend'],muito lindo xxend
1810,['xxtsart recomendo o produto xxend'],gostei xxend
6588,['xxtsart muito bom adorei xxend'],gostei muito do produto xxend
19307,['xxtsart thor está com inveja da minha marreta xxend'],maravilhoso xxend
5301,['xxtsart gostei muito xxend'],gostei do produto xxend
20570,['xxtsart produto atende as expectativas xxend'],bom produto xxend
25289,['xxtsart cama elástica 2.44 xxend'],excelente xxend
22361,['xxtsart livro ótimo xxend'],muito bom xxend
15485,['xxtsart o produto é ótimo xxend'],gostei do produto xxend
11714,['xxtsart produto com defeito xxend'],produto com defeito xxend
20652,['xxtsart proteção necessária xxend'],excelente xxend
4748,['xxtsart perfeito xxend'],gostei muito do produto xxend
21233,['xxtsart tv smart sempre toshiba xxend'],gostei muito do produto xxend
9435,['xxtsart squeeze xxend'],não gostei xxend
3709,['xxtsart produto ok! xxend'],gostei do produto xxend
25657,['xxtsart ainda não instalei xxend'],gostei xxend
23003,['xxtsart otima xxend'],excelente xxend
25031,['xxtsart linda boneca xxend'],gostei muito do produto xxend
13116,['xxtsart bom xxend'],gostei do produto xxend
25470,['xxtsart estagiário esta de ressaca ainda xxend'],produto de qualidade xxend
9576,['xxtsart bom produto xxend'],bom custo benefício xxend
10150,['xxtsart falsso xxend'],não gostei xxend
19456,['xxtsart prático e leve xxend'],gostei muito do produto xxend
6530,['xxtsart bom xxend'],gostei do produto xxend
10188,['xxtsart casamento xxend'],gostei xxend
14683,['xxtsart produto muito bom xxend'],produto fraco xxend
504,['xxtsart não comprem! xxend'],não gostei xxend
1214,['xxtsart recomendo xxend'],gostei xxend
1531,['xxtsart faltando peças xxend'],produto com defeito xxend
23960,['xxtsart muito bom! xxend'],adorei xxend
823,['xxtsart top xxend'],gostei do produto xxend
17312,['xxtsart produto bom xxend'],não recebi o produto xxend
5029,['xxtsart muito bom! xxend'],produto muito bom xxend
13428,['xxtsart moto g5s xxend'],excelente produto xxend
16517,['xxtsart vale a pena xxend'],excelente produto xxend
2105,['xxtsart produto excelente xxend'],gostei muito do produto xxend
3627,['xxtsart excelente produto xxend'],excelente produto xxend
12972,['xxtsart produto ok. caixa péssima xxend'],produto errado xxend
22700,['xxtsart produto  muito forte xxend'],produto bom e barato xxend
1852,['xxtsart surpreendente xxend'],excelente xxend
4910,"['xxtsart recomendo, chegou com 20 dias de antecedência muito boa. xxend']",excelente produto xxend
20559,['xxtsart pingente lindo xxend'],gostei xxend
11003,['xxtsart gostei do produto xxend'],gostei muito do produto xxend
21732,['xxtsart parabéns americanas!!! xxend'],nÃo recebi o produto xxend
25826,['xxtsart muito bom xxend'],bom produto xxend
13843,['xxtsart produto bom xxend'],bom produto xxend
11704,"['xxtsart fácil de usar, porém frágil. xxend']",produto de baixa qualidade xxend
15761,['xxtsart gostei muito do ptofuto xxend'],muito bom xxend
6190,['xxtsart muito bom xxend'],muito bom xxend
17640,['xxtsart produto excelente xxend'],muito bom xxend
19760,['xxtsart excelente produto xxend'],excelente produto xxend
5645,['xxtsart entrega só pra quem tem muuuuuita paciência xxend'],comprei e não recebi meu produto xxend
19870,['xxtsart tapete felpudo xxend'],muito lindo xxend
19968,"['xxtsart entrega realizada com sucesso, e jogo excelente!! xxend']",excelente produto xxend
9588,['xxtsart excelente. xxend'],gostei do produto xxend
11829,['xxtsart ainda nao recebi xxend'],não recebi o produto xxend
8053,['xxtsart cama box bau viuva preto xxend'],não gostei xxend
3330,['xxtsart ótimo xxend'],produto de qualidade xxend
19087,['xxtsart mto fraco xxend'],produto xxend
8662,['xxtsart produto maravilhoso xxend'],excelente xxend
24504,"['xxtsart gostei, recomendo xxend']",gostei muito do produto xxend
7114,['xxtsart não recebi o produto xxend'],não gostei do produto xxend
13323,['xxtsart produto prático xxend'],muito bom xxend
1353,['xxtsart falta de peça xxend'],gostei xxend
10975,['xxtsart gostei do produto xxend'],produto muito bom xxend
11023,['xxtsart om3 gold 1000 xxend'],excelente xxend
21447,['xxtsart não sei xxend'],não recebi xxend
24933,['xxtsart otimo xxend'],gostei xxend
23959,['xxtsart comprei para meu filho muito bom xxend'],Ótimo xxend
667,['xxtsart gostei xxend'],gostei xxend
20852,['xxtsart produto excelente e pratico xxend'],muito bom xxend
9337,['xxtsart produto xxend'],Ótimo produto xxend
13659,['xxtsart gostei muito xxend'],gostei xxend
23203,['xxtsart bom xxend'],gostei muito do produto xxend
3719,['xxtsart ótimo produto xxend'],otimo xxend
19129,['xxtsart otimo jogo com jogabilidade complexa xxend'],bom xxend
7483,['xxtsart gênero de 1ª  necessidade. xxend'],produto muito bom xxend
539,['xxtsart produto perfeito e ótima loja xxend'],produto com defeito xxend
4964,['xxtsart ótimo produto xxend'],muito bom xxend
4835,['xxtsart ótimo produto xxend'],Ótimo produto xxend
20159,['xxtsart simples e confortável xxend'],bom produto xxend
6042,['xxtsart otimo xxend'],Ótimo produto xxend
14837,['xxtsart gostei muito do produto xxend'],muito bom xxend
23486,['xxtsart gostei muito do produto! xxend'],gostei muito do produto xxend
7312,['xxtsart atende perfeitamente o que foi proposto! xxend'],bom custo benefício xxend
5320,['xxtsart ótima xxend'],produto muito bom xxend
13216,['xxtsart material de ótima qualidade xxend'],produto muito bom xxend
22516,['xxtsart 10 xxend'],produto muito bom xxend
24275,['xxtsart ruim xxend'],não recebi o produto xxend
2779,['xxtsart gostei muito...satisfatorio xxend'],muito bom xxend
17308,['xxtsart avaliação do produto xxend'],boneca é muito caro xxend
1581,['xxtsart a bíblia é bonita mais tem o porém xxend'],linda xxend
24098,['xxtsart péssimo produto! xxend'],não gostei xxend
19708,['xxtsart cadê meu coturno????? xxend'],ainda não recebi xxend
12677,['xxtsart como comprar uma tv que consome 1kw/h.... quem consegue pagar a conta de energia? xxend'],bom produto xxend
5713,['xxtsart produto de ótima qualidade! xxend'],gostei muito do produto xxend
23410,['xxtsart gostei muito xxend'],gostei muito do produto xxend
16639,['xxtsart eu nem recebi xxend'],não recebi o produto xxend
4804,['xxtsart tudo certo xxend'],gostei muito do produto xxend
18222,['xxtsart muito bom xxend'],muito bom xxend
10136,['xxtsart not i3 samsung 1t hd 4 mem xxend'],muito bom xxend
9,['xxtsart produto ainda não recebido xxend'],não recebi o produto xxend
19255,['xxtsart excelente xxend'],excelente xxend
25373,['xxtsart gostei muito do produto . xxend'],excelente produto xxend
23793,['xxtsart gostei muito deste produto xxend'],gostei muito do produto xxend
23802,['xxtsart jogo divertido xxend'],gostei xxend
5124,"['xxtsart ameei! lindo, prático, funcional e criativo... xxend']",Ótimo produto xxend
1015,"['xxtsart gostei do purificador, mas instalação gerou problemas xxend']",não gostei xxend
26400,['xxtsart projetor acer 1223 xga xxend'],excelente xxend
2193,['xxtsart o produto é ótimo xxend'],gostei do produto xxend
8415,['xxtsart muito bom.... xxend'],gostei muito do produto xxend
13550,['xxtsart produto muito bom! xxend'],produto muito bom xxend
14512,['xxtsart adorei xxend'],Ótimo produto xxend
23833,['xxtsart recomendadíssimo!!!!!!! xxend'],muito bom xxend
4158,['xxtsart envelopes resistentes xxend'],gostei xxend
20309,['xxtsart demora p assar xxend'],produto errado xxend
6970,['xxtsart ruim xxend'],não recebi o produto xxend
6938,['xxtsart ótimo produto xxend'],Ótimo produto xxend
21168,['xxtsart excelente xxend'],gostei muito do produto xxend
13772,['xxtsart gostei xxend'],produto muito bom xxend
20384,['xxtsart smart tv led 55 lg xxend'],excelente xxend
18017,['xxtsart perfeito xxend'],excelente xxend
10344,['xxtsart recomendo o produto xxend'],gostei muito do produto xxend
7266,['xxtsart não recomendo americanas.com para ninguém xxend'],produto com defeito xxend
8702,['xxtsart excelente! xxend'],produto de qualidade xxend
384,['xxtsart capa de violão super boa. xxend'],muito bom xxend
404,['xxtsart propaganda enganosa xxend'],não gostei do produto xxend
8175,"['xxtsart película trincada, capa protetora de outro aparelho xxend']",veio com defeito xxend
15158,['xxtsart jogo xbox one xxend'],muito bom xxend
12763,['xxtsart bom produto xxend'],bom xxend
18384,['xxtsart tudo certo xxend'],gostei muito do produto xxend
9860,"['xxtsart fotos maravilhosas, mas.. xxend']",excelente produto xxend
5989,['xxtsart produto de ótima qualidade xxend'],gostei muito do produto xxend
15106,['xxtsart recomendo xxend'],gostei muito do produto xxend
17844,['xxtsart prático xxend'],muito bom xxend
23574,['xxtsart não fiquei muito satisfeita xxend'],não gostei xxend
23524,['xxtsart celular muito bom xxend'],gostei muito do produto xxend
3636,['xxtsart demora na entrega xxend'],bom xxend
10916,['xxtsart gostei muito do produto xxend'],gostei muito do produto xxend
4809,['xxtsart pura estrategia de marketing xxend'],excelente produto xxend
20562,['xxtsart gostei xxend'],muito bom xxend
13456,['xxtsart valeu a pena xxend'],bom produto xxend
15444,['xxtsart excelente produto xxend'],excelente produto xxend
23629,['xxtsart 50 tons de liberdade xxend'],otimo xxend
22984,['xxtsart troca do produto que entregaram xxend'],produto com defeito xxend
5997,['xxtsart o produto é bom atende as expectativas. xxend'],não gostei do produto xxend
2048,['xxtsart excelente. xxend'],gostei do produto xxend
12338,['xxtsart adorei o celular xxend'],amei xxend
21164,['xxtsart ótimo produto ! xxend'],produto maravilhoso xxend
17100,['xxtsart quero devolver e quero meu dinheiro de volta xxend'],recebi o produto errado xxend
24323,['xxtsart gostei muito valeu a compra xxend'],amei xxend
21949,['xxtsart não recebi o produto xxend'],não recebi o produto xxend
4544,['xxtsart problema xxend'],não gostei do produto xxend
4976,['xxtsart gostei mas não veio igual da foto xxend'],gostei do produto xxend
